cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('燕.6') 鳥類名，燕科候鳥，背黑腹白，體型小，翼尖長，尾巴分叉呈剪刀狀。 她吃下仙藥之後，馬上身輕如<燕>，不由自主地飛到月宮裏面，永遠住在那裡。
cwn.Synset('作出.4') 將材料依照設計規格，建造後述供人類活動的房屋或土木工程，強調動作的結果。 先用木工板<作出>架子。
cwn.Synset('燒.2') 在高溫的環境中製造後述對象，通常是磚塊、陶瓷等。 當時荷蘭大大小小的作坊有的改<燒>壁磚、有些倒閉了，也有些索性開始仿<燒>青花瓷器。
cwn.Synset('營.0') 以特定主題聚集群眾進行的活動的名稱，通常為一天以上。 大學時劉昭能參加中原大學的社團負責編輯刊物，辦過邏輯思考<營>、環保消費者<營>；研究議事規則、投入學運，還加入抗議「萬年國會」活動。
cwn.Synset('燙.4') 形容因酒精濃度高而令人感覺灼熱不舒服的。 為什麼喝濃度高的酒時，不能喝太快，不然會<燙>到喉嚨?
cwn.Synset('請益.0') 尋求指導。 也只有在那個時候，學員才能開口向法師<請益>。
cwn.Synset('燃.0') 形容前述物品正在發生氧化作用，產生光和熱。 火柴<燃>到底，燒痛了他的手指，他慌忙甩開。
cwn.Synset('經國.0') 近代中國政治家，名經國，字建豐，曾任中華民國第六任、第七任總統。 在先總統蔣公及蔣故總統<經國>先生領導之下，臺灣經歷了經濟起飛。
cwn.Synset('燈.3') 在競技遊戲中，用來作為評分的等級。 戴愛妮被評審老師按了兩個<燈>，低空過飛過。
cwn.Synset('燈.5') 燃燒液體或氣體，主要用來加熱的器具。 當使用燒杯時，通常得用本生<燈>加熱。
cwn.Synset('燭.3') 用蠟和油脂製成的可燃燒發光的物體，通常為長條圓柱形。 小女生在大學主修中國文學，對「更持紅<燭>賞殘花」的境界，異常神往。
cwn.Synset('非正式.0') 形容不具正式關係或身份。 某種行為讓別人不能忍受，則只好利用別的溝通機會私底下、<非正式>的讓他了解。
cwn.Synset('非正式.1') 形容不符合公認標準的。 讓小孩可在草地上放風箏、在小河裡親水及草地上舉行<非正式>的排球賽。
cwn.Synset('多媒體.1') 大學中教授多媒體知識的教學研究單位。多媒體系所的簡省。 我本身是念<多媒體>的，當初也算是第一志願。
cwn.Synset('年中.0') 一年中間的一段時期。 長榮海運稱霸全球，而全新的長榮航空將於<年中>起飛。
cwn.Synset('鼾聲.0') 打鼾時所發出的聲音。 蘇魯克、車爾庫、駱駝他們的<鼾聲>，可比天鈴鳥的歌聲響得多。
cwn.Synset('牛郎.1') 提供色情服務以賺取金錢的男子。 <牛郎>的勞動或工作，顛倒了性別角色的傳統規範。
cwn.Synset('商用.0') 形容適合商業使用的。 他用這一個原則，發明了<商用>計算器，文字處理機和適合大企業辦公室運作。
cwn.Synset('總的來看.0') 表從事物的整體觀點來觀察。 「<總的來看>，臺北的都市政策就是沒有政策，」文化大學建築與都市設計系副教授吳光庭也認為。
cwn.Synset('林彪.0') 中華人民共和國政治人物，四人幫之一，屬於中國共產黨高層人士。 在眾多中共高層首腦中，<林彪>可算是頭腦相當清醒的一個。
cwn.Synset('現任.0') 形容現在正擔當特定職務或具有特定身份。 合庫羽球隊利用私人情誼，禮聘印尼國家羽球隊<現任>教練謝全新來台一個月。
cwn.Synset('鴉.0') 鳥綱燕雀目鴉科的通稱。有直而硬的大嘴，通常全身黑色。 那天在台八線梨山往合歡山的方向，山谷間可以看到巨嘴＜鴉＞在飛。
cwn.Synset('現代.0') 二十世紀的一種藝術與文學潮流，主要強調意識流及象徵作用。 邁寧根劇團的所作所為是文藝復興以來劇場理想的完成，是<現代>劇場藝術的開端。
cwn.Synset('可怖.0') 形容可怕恐怖的。 李文秀見他滿臉病容猛地轉為猙獰<可怖>，眼中也射出兇光，不禁大為害怕。
cwn.Synset('在行.0') 對特定事物有豐富的知識和經驗。 宏明資訊對存貨的控制非常<在行>。
cwn.Synset('法國人.0') 法國的人民。 他說孫先生在法國這許多年，全不知道<法國人>的迷信。
cwn.Synset('過目.0') 很快地看過一遍。 他發現有些人帶著著厚厚的補充講義，好奇的向同學借來<過目>，才發現原來老師暗中幫助數學成績好的同學補習。
cwn.Synset('禁不住.0') 無法制止特定動作或行為的發生。 世界趨大同，強幣很容易國際化，政府要禁也<禁不住>。
cwn.Synset('面前.0') 地方詞，距離說話者正面不遠處的地方。 她再一次細看了<面前>自稱殺手的男人。
cwn.Synset('彩色.0') 形容比喻生活豐富且多變化的。 我由衷祝福朋友早日脫離三「貸」同堂苦海，獲得<彩色>的幸福人生！
cwn.Synset('皮膚.0') 動物身體最外層，有保護作用的有機組織。 第二度傷係傷至<皮膚>內部。
cwn.Synset('一再.0') 表一次又一次做相同動作或發生同類事件。 由於父親<一再>地追問，木蘭才對他說明了自己的心事。
cwn.Synset('依舊.0') 形容與原來一樣。 力霸飯店活動<依舊>，但在菜色加強變化來穩住顧客群。
cwn.Synset('同等.0') 形容數量或價值相同的。 禮券可換取<同等>金額之商品，但不得兌換現金、轉售及找零。
cwn.Synset('同等.1') 形容等級或地位相同的。 「信用卡」本身是一種「支付工具」，與「現金」有<同等>效力。
cwn.Synset('侈于.0') 以鋪張浪費的方式做後述事件。 長安風俗，自貞觀開元<侈于>遊晏，其後<侈于>書法圖畫，或<侈于>博奕，或<侈于>卜祝，或<侈于>服食，各有所蔽也。
cwn.Synset('競爭力.0') 和其他對象競爭的能力。 多位業者坦承，台灣具有國際<競爭力>的服務業，並不多見。
cwn.Synset('引以為恥.0') 因前述對象而感到可恥。 如果我們不滿意自己的形象，並<引以為恥>，就會多方設法掩飾，不讓人見到真面目，於是變得不友善，很難相處。
cwn.Synset('文.0') 獨立而首尾完整的成篇文字。 欲了解學者們的見解，請細讀全<文>。
cwn.Synset('文.1') 研究社會現象和文化藝術的科學。 學理工的也有很迷信的，學<文>的有些也是很科學的。你認為呢？
cwn.Synset('文.5') 指文學、書法等以腦力為主的活動。 瓦耳拉齊在中原時學<文>學武，多讀漢人的書籍，所以熟知唐代史事。
cwn.Synset('文.8') 計算舊時銅錢的單位。 他跟米老大說：「算你一百<文>錢啦！」
cwn.Synset('訂貨.0') 訂購的貨品。 我可以打電話去修改我的<訂貨>送達時間嗎？
cwn.Synset('身後.1') 在身體的背後。 蘇普大怒，吼叫一聲，從阿曼<身後>撲了出來。
cwn.Synset('門.7') 生物分類單位的一種，在界之下，綱之上。 南亞蝸牛屬蝸牛屬於軟體動物<門>。
cwn.Synset('閂.1') 用繩子等細長物將特定物體固定在其他物體上。 是可以把腳踏車停在這，不過，要用鍊子<閂>著就是。
cwn.Synset('閃.3') 形容讓人感到刺眼又羨慕嫉妒的，通常指情侶間的行為。 大家來聊聊你看或做過最<閃>的情侶舉動。
cwn.Synset('註.1') 向特定對象登記以確認身份或取得特定權利。 就算真的開放網域申請，那也是用申請的而不是先<註>先贏啊！
cwn.Synset('閏.2') 為調整曆法與天象間的差距，在適當年份中增加完整的一日或一個月。 依回歸年的日數，西年4000年後應要有一年少<閏>一天。
cwn.Synset('開.52') 比喻報紙新聞因遭刪除或趕拍不及等原因，產生一塊空白版面而導致部分無法刊出。 即使文章被新聞檢查官刪去，以至在報上<開>扇「天窗」，也無妨其作為一個獨立的政黨活躍在政壇。
cwn.Synset('開.66') 計算黃金中含純金量的單位，純金的含量是二十四開。 這一種牌子的鋼筆，有十四<開>金的筆尖。
cwn.Synset('獎金.0') 為表揚或勉勵而發給的金錢。 凡獲得奧運金牌的選手，將可獲得新台幣一千萬元的<獎金>。
cwn.Synset('閒.3') 形容沒有事情做，有空出來的時間。 我大概一月十五號以前大概都不太<閒>，你可以不用再打電話來了。
cwn.Synset('間.5') 空間上不連續，並有遮斷物。 咱們買一座莊子，四周種滿了楊柳桃花，一株<間>著一株。
cwn.Synset('以後.0') 晚於現在或前述事件的時段。 古人教養子女往往只到十五歲，<以後>則要靠老師來教。
cwn.Synset('訓.1') 在特定時段強制規律教導特定技能的活動。 吉林東北虎隊離開長春，開始了為期兩個多月的夏<訓>。
cwn.Synset('集合.1') 由抽象且地位相同的不同數學元素所組成的整體。 簡諧震盪子的能譜構成一組具有相同間距的離散<集合>。
cwn.Synset('記.0') 以登記的方式處罰犯錯或獎勵傑出行為。 姚高橋對於員警操守不當，收受餽金之事，極為震怒，已下令<記>兩大過處分，將吳員免職。
cwn.Synset('合作社.1') 以分擔風險為原則，由所有成員共同經營分享利益的經濟組織的建築物及建築物所在的位置。 如果遺失票據，應先到付款銀行、<合作社>或農會，辦理掛失止付手續。
cwn.Synset('合作社.3') 為服務特定團體內的成員而組織的消費或供銷部門的建築物及建築物所在的位置。 中餐有的時候，我會去<合作社>買一些二十元的那種便當來吃。
cwn.Synset('閩.0') 中國古代南方的少數民族之一，主要聚居在福建、浙江東部等地。 福建曇石山遺址博物館主館再現先秦<閩>族生活場景。
cwn.Synset('訂.2') 用釘書機或類似工具將紙張固定在一起。 把十幾年的樂訊<訂>在一起，可以出好幾本書了。
cwn.Synset('言.1') 計算中國詩中每一句固定字數的單位，用於分辨體裁。 張九齡在極端的感慨之下作了五<言>古詩「感遇」十二首。
cwn.Synset('閱.0') 用看的方式檢驗特定對象。 複查由原<閱>卷人員複<閱>，考卷一律不對外公佈。
cwn.Synset('鍾情.0') 感情專注於後述對象。 她雖然見過許多達官貴人，卻<鍾情>於一個極窮苦的下級軍官韓世忠。
cwn.Synset('討.2') 根據已確定的權益，提出履行後述義務的要求。 男子林明勇為了逼<討>債務，敲詐勒索，恐嚇取財，經彰化警分局傳喚到案。
cwn.Synset('號稱.0') 無客觀證據，誇張的宣稱的內容是後述對象。 一間<號稱>十坪七折八扣之後只剩六坪的小套房。
cwn.Synset('其中.0') 在前述命題或概念中。 他不能來參加你的婚禮，<其中>必有緣故。
cwn.Synset('斗.2') 星座名，排列在北方天空中的七顆星，形狀像古代舀酒的斗。 歲月如流，眼見<斗>杓又將東指了。
cwn.Synset('連戰.0') 比喻在特定時段內，相同的兩個隊伍所進行的多次比賽。 今晚六時三十分在屏東棒球場，將由時報鷹與統一獅進行本週三<連戰>的第二場比賽。
cwn.Synset('變更為.0') 前述對象被改變成為後述對象。 集集鎮長黃炎明涉嫌將公園預定地<變更為>住宅區，圖利自己及親屬。
cwn.Synset('嚴峻.0') 形容態度嚴肅且強硬不退讓。 他的態度過於<嚴峻>，也不是修道人應有的。
cwn.Synset('市場.0') 指商品在市場中的供需關係及消費者的接受度。 先了解<市場>、掌握<市場>，再設廠製造是最穩當的作法。
cwn.Synset('膝下.0') 代指書信中子女對祖父母或父母的提稱語。 祖父母大人<膝下>，敬稟者：八月底故園拜別，迄今將及半截，孺慕至殷。
cwn.Synset('傢俱.0') 家庭、辦公室中的器具。 因為上週的大水災，一樓的沙發、茶几等<傢俱>都泡了水。
cwn.Synset('隔壁.3') 同類並併排對象中從參考點算起的排序。 他注意了一下流雲派的人，發現他們就在自己<隔壁>第五個房間，中間隔了四個房間，但炎龍也沒過去打招呼。
cwn.Synset('好比.0') 描述後述事物在性質、狀況上和前述的事物相似，因而拿來作比喻。 你們看！燈<好比>太陽，皮球<好比>月亮，木球<好比>地球。
cwn.Synset('斐.0') 國名，位於南太平洋的島國，首都為蘇瓦。 這項展覽在<斐>獲得媒體大肆報導。
cwn.Synset('拜託.0') 提出要求，請他人幫忙。 如果可能的話，<拜託>把這個苦杯給我移掉吧！我不想喝它呀！
cwn.Synset('連成.0') 將兩個或兩個以上的前述對象連起來成為後述新的整體。 墳連墳地<連成>一片，裡邊埋的淨是餓死鬼。
cwn.Synset('渡過.1') 經過特定時段。 難道我就要這樣<渡過>三年大學生活？
cwn.Synset('甘於.0') 願意並接受後述事件。 不<甘於>長期受到忽視的手工藝人，昨天終於自力救濟的跨出第一步。
cwn.Synset('黑手黨.0') 黑社會組織。發源於義大利的西西里島。 義大利<黑手黨>行為囂張為害鄉里，舉世聞名。
cwn.Synset('難怪.0') 形容後述出乎預料的事件由於明白原因而可以接受。 我那孫女兒問著她媽媽『哪兒來的老頭啊？』這也<難怪>，連她媽媽我都沒抱過，何況這小孫女。
cwn.Synset('著名.1') 形容為眾人所知且在特定領域中有較高的評價的。 許多<著名>學府的突出，是由於他們能夠在學術上有更多的「突破」。
cwn.Synset('縣府.0') 縣政府的建築物及建築物所在的位置。 擇昨日上午黃道吉日，在<縣府>二樓的簡報室，另闢辦公室。
