所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
阻 使特定通道無法通行。 這裡的道路本已異常繁複曲折，再加上牆倒沙<阻>，更是令人暈頭轉向。
抽 使用口攝入會令人上癮的物品。 歷史學家們推斷他躺在煙榻上<抽>了二十多年的鴉片煙！
口操 使用後述口音或詞彙。 一群<口操>中南部口音者二日在宜蘭市南館市場擺攤叫賣玩具。
施 使用後述工具。 黃石可以部分雕琢，不宜整體<施>刀。
施 使用後述手段進行特定事件。 單廷珪答道：「不才願<施>犬馬之力，同共替天行道。」
用 使用後述材料製成前述物品。 綠茶健康月餅與黑芝麻美顏月餅，是<用>上等綠茶和上等黑芝麻配製而成。
說 使用後述語言。 您的中國話<說>得不錯嘛！
耍 使用後述負面手段進行特定事件。 到競爭時就不同了，有時會為了勝利，不擇手段的用心機、<耍>權謀。
吃 使用會令人上癮的物品，通常用口或鼻攝入。 嫌犯於警訊時，矢口否認餵兒子<吃>強力膠，強調他是在「餵奶」。
做 使用負面手段以達特定目的。 想不到自己縱橫天下，居然被自己的逆子<做>圈套殺死。
放出 使監禁者得到自由。 黎巴嫩村民接管了惡名遠播的希亞米監獄，<放出>囚犯。
盪 使船在水面上運動。 沿山腳<盪>舟一圈不過十幾分鐘的時間，但渾然天成的佈局不由你不嘆服漁家女兒的匠心獨具。
胖 使身體特定部份肉變多。 一般男生過三十歲以後容易<胖>肚子，形成啤酒肚。
瘦 使身體特定部位肉變少。 我想要<瘦>大腿和小腿，有沒有什麼方法或是產品，可以介紹給我嗎？
吃 使物體經過口中吞入體內。 一隻猴子會分辨什麼果子能<吃>，什麼果子不能<吃>，這屬於本能。
剉 來回摩擦特定物體表面，使其光滑平整。 我也買了天然輕石，不過我是拿來<剉>腳皮的。
搖 來回移動或晃動。 不論上半截或下半截的帶子都細到令人心跳加快，而期待地動山<搖>的男士們恐怕更不在少數。
婚 依據法定程序建立婚姻關係。 不能保證永遠愛，許多男人不想<婚>。
抄 依照已存在的內容重新書寫一遍。 老師在臺上拼命講解，我們就拼命<抄>筆記。
仿照 依照已有的方式去做。 頤和園後山的街是建在後溪河兩岸，<仿照>蘇州水城的水上小街。
配 依照特定原則分發或安排特定對象。 促進產業升級條例將對三百平方公尺以下的所有人，不予<配>地。
做 依照特定想法或概念創作出特定對象。 他的外公是一位秀才，聽說很會<做>詩詞。
作出 依照特定想法或概念創作出特定對象，強調動作的結果。 他們竟然真的組團，還<作出>歌曲了。
行 依照特定方法實際施行特定事件。 楊志良表示，關於醫院管理方面的研究所在國外早已<行>之多年。
調 依照特定標準改變或更動後述對象。 我個人的看法是把曲笛膜<調>鬆一點會比較適合。
配 依照特定標準選擇並調配原料。 他建議孕婦找合格中醫師協助安胎，並且不要亂<配>中藥服用。
調 依照環境改變使達到均勻和諧。 靜坐無非是在<調>身、<調>氣、<調>心。
比 依規則在競爭中爭取勝利。 你們為什麼不<比>一<比>，看誰的力氣大？
繳 依規定交出後述對象。 許多人初來乍到時，都「<繳>過不少學費」。
朝拜 信徒向神佛行禮。 自從開寺以來，前來<朝拜>的信徒絡繹不絕。
修理 修剪整理植物。 他立即打電話給同是公路單位的工程處，表達抗議<修理>樹木的工程。
頂 倚靠特定物體以支撐。 中共建立政權後，毛澤東提出「婦女能<頂>半邊天」的口號。
幹嗎 做什麼事，通常為不客氣的語氣。 喂，你在<幹嗎>？
認 做出後述事件成立的陳述。 他們說你是哈薩克人瓦耳拉齊，你自己又<認>了。
擺 做出特定臉部表情。 很多老鄉這錢給光了，情也沒了，只好任憑孩子<擺>臉色。
完全 做完特定事件，達到目標。 片刻後他<完全>了此次的任務便離開了。
暖 做特定動作使體溫升高、筋骨舒展。 先轉轉腰，<暖>一下身，然後兩腳分開約45公分，一腳在前，一腳稍微在後。
作出 做，取代整個事件，強調動作的結果。 希望貴頻道繼續為觀眾<作出>好節目。
滅 停止發出光線。 就算全場虛聲螢光棒的螢光都<滅>了，也請你們繼續生存下去。
停 停留在特定地點。 我在二月從台灣回到荷蘭的路上，特意在香港<停>了幾天。
傳教 傳授思想或知識。 她熱愛中國，熱愛現代的年輕人，迢迢萬里到中國用學術來<傳教>。
寄 傳送信件或包裹給特定對象。 應徵者請於七月三十一日前將學經簡歷<寄>至「台北市南港區研究院路二段一二八號。」
倒 傾斜容器使內容物掉出。 他從瓦壺裡<倒>了一碗熱奶酪。
任由 允許後述事件行為隨意地發生。 我們特別在超市中設立了一處誠實角，<任由>同學自行取購物品，自行付款。
打 光照射特定對象。 作品在舞台表演時，再加上<打>光、佈景和素樸的肢體語言，更為震撼。
忍不住 克制不住。 他一提起留在大陸的妻子和兩個兒子就<忍不住>老淚直流。
塞 克服阻力將物品放入可容納物品的空間中。 在鴨、鵝肉方面的烹製，德人也有別出心裁的做法。烤鴨通常內<塞>蘋果、乾梅，或者浸在酒中蒸煮。
忠 全心全意為他人做事，而不改變心意。 既然是受人之託，本來就應該<忠>人之事。
每 全體中的所有個體單位，強調各個個體都適用。 團體訂閱一年期五份以上，<每>份1570元。
加上 兩個以上數值合併計算其和。 蘇聯隊目前出賽六場，再失九十三分，<加上>前十場的二百三十六分，失分計為三百二十九分。
相差 兩個特定對象之間的差異為。 你們這批貨的實際重量和發票<相差>三十五噸。
接連 兩物體在空間上相連。 土城雖然已蕩然無存，<接連>外圍的福德祠當時的土城即依稀可揣摩出來。
發 公佈消息或新聞。 《人民日報》打電話去申明拒<發>此消息後，洪便說不要搞了。
公告周知 公布讓大家知道。 基層特考停辦，後年要不要辦，將會在需要舉辦的一年前<公告周知>，以利考生準備。
發 公開作品或商品，使其在銷售管道流通。 在此情況下，業者要在國內<發>基金，困難將十分多。
傳世 公開傳播出去。 打造當代<傳世>之作---上海創作舞台藝術精品紀實。
發 公開出版作品或宣讀文字。 很久沒<發>作品!!PO點最近的平面小品!
專門 具有個人意願而特地做特定事件。 我們<專門>請了一位上海來的西餐廚師給他做麵包。
包含 比喻具有後述意義或情感。 對一個人有說不出的討厭情緒，是否也<包含>對他莫名的忌妒？
上台 出任職務或掌權。 此外，企業界本來以為他<上台>後，會很快依照業界期望開始「三通」。
遍及 分佈在範圍內的所有地方。 山西商家的業務<遍及>全國各地。
攏 分開或張開的物體集中在一起。 兩岸包機直航，大陸和台灣人民身更<攏>，情更濃。
殺 切開後述體積較大帶有厚殼的水果。 洋人不會用刀<殺>鳳梨，更別說殺出那個酒桶形的弧度了。
等等 列舉相類似的事物。 在日本，家裁所是處理家庭事件，如離婚、遺產分配不公<等等>案件。
下 判斷並做出陳述。 我的這番話，也可說是我對這些討論所<下>的部分結論。
印 利用印刷的方式複製後述以紙張呈現的特定對象。 這種<印>股票換鈔票的作法，引起廣泛批評。
乘 利用特定時機獲得競爭上的優勢。 中共是<乘>民族主義的高漲，建立了政權。
敲 利用特定軟體，以輸入文字或符號的方式來傳送或交換訊息。 你們平常見面，上班<敲>ICQ，假日在一起，為何晚上還有那麼多話？
分辨 利用特性來識別後述對象。 租書店擁有特定的氣味，還是可以清晰<分辨>，那股氣味是由青少年們的汗臭、球鞋散發出來的異味。
吸 利用磁力或引力將後述物體引到特定位置。 交流電可否<吸>磁鐵？
勾 利用線條畫出特定物體的輪廓。 她費力地抹著粉餅，描著眉毛，塗著眼影，<勾>著眼線，畫著嘴唇。
勾 利用鉤型符號或其他方式標記或選取。 如果妳連<勾>這一欄自己都會心虛，為難，又怎麼期望別人認同妳呢？
關 利用開關裝置使機器或輸送管道停止運作。 老人獨居時不會為接個電話就忘了爐火沒<關>。
開 利用開關裝置使機器運作。 字條上寫著：把電筒<開>著，照亮後面的的字下面有一撇，像是寫了半個人字，就被淹沒了。
開 利用開關裝置使輸送管道流通。 水閘上的中年人叫著："除非你們打死我，否則誰也別想<開>這個閘門！"
打 利用電話裝置與人通話。 我從北京坐長途車去太原，6個小時的車程，就有400餘個電話<打>到我的手機上。
遊 到國外求學。 我<遊>歐歸來，廁身學界，不遂所志，轉而從醫。
進香 到神的面前恭敬地把香插進香爐裡。 這是這裡最著名的古寺，再往山下走，沿途有好幾座寺廟可以<進香>祈福。
禁 制止、不允許作特定動作或行為。 在我的門診裡並不<禁>病人吃中藥。
告狀 刻意向較有權力的人或機構陳述特定對象的過錯。 高年級同學或低年級同學，和班上的同學來向我<告狀>。
縮短 削減特定對象的規模或程度。 結合社區及親師合作，普及資訊學習及應用，<縮短>數位落差。
走 前往特定地點實地觀看後述對象。 我離開台灣之後，<走>了無數個國家。
便於 前述事件有利於後述事件。 為了<便於>我方報價，能不能請您談談你們所需的數量？
挾 前述事件發生時後述事件跟著一起發生。 他笑了，<挾>著頑皮的深情語調跟他調情。
逼 前述事件的程度接近後述事件。 黃華再度入獄，坐牢時日直<逼>施明德。
匪 前述事件與後述事件不相等。 在這兒，市政府替市民築了二道耗資<匪>薄的健康步道。
足 前述事件達到後述事件的必要條件。 工作固然重要，但是生活的情趣最<足>珍惜。
此 前述事物的代稱。 隨著選舉到來，族群衝突再現，且有蔓延的可能，<此>其二。
化成 前述固態或液態物體失去原來形狀，變成後述形式。 被強烈的風雪侵蝕，堅硬的岩石，都<化成>了細細的柔沙。大自然的威力奧妙令人懾服。
曰 前述對象具有後述評價的屬性。 孫權文才武略並不出眾，難得者在於平日待臣下之殷厚，其殷厚又不同於劉備之市井道義；而頗有文節（亦可<曰>「虛偽」）。
轉成 前述對象因漸進改變而達到後述的等級或程度。 解脫不是死了才解脫，把煩惱的心<轉成>清淨的心就是解脫。
變 前述對象因顯著特性的取代而成為的是後述對象。 一萬名的變性者，大部分是男<變>女，女<變>男只占極少的比例。
占 前述對象在整體對象中的比例為。 日本陸地面積<占>世界陸地面積四百分之一。
送 前述對象將特定事物當作禮物給後述對象。 <送>你一條魚，不如教你如何釣魚。
列為 前述對象屬於後述類別。 羚羊有很多種，只有少數<列為>保育動物。
相當於 前述對象幾乎等同於的對象是後述對象。 二千多年前，齊威王號稱為王，其實只<相當於>當今一名省級幹部。
面 前述對象所在的位置正面朝向後述對象。 正房<面>乾向陽、倒座<面>坤向陰。
結為 前述對象所建立的特定關係是後述關係。 從八十八年一月一日起，ACM與IICM<結為>姐妹會。
