e04 , 形容極度不悅。
中央日報 , 專有名詞。臺灣的一家報社，為中國國民黨黨營事業之一，由何浩若創辦，民國三十八年由大陸遷臺。
中央 , 普通名詞。最高行政機構，相對於地方政府。
中學 , 地方詞。中學的建築物及建築物所在的位置。
中學 , 普通名詞。中國傳統學術。
中學 , 普通名詞。介於國民小學和大學之間等級的學校，包括國中和高中。
中 , 專有名詞。治理中國的政府。
中 , 專有名詞。治理中華民國的政府。
中小 , 形容事物的規模接近或少於平均。
中山 , 地方詞。中山大學的建築物及建築所在的位置。「中山大學」的縮寫。
中山 , 地方詞。中山女中的建築物及建築所在的位置。「中山女子高級中學」的縮寫。
中山 , 專有名詞。中國革命家，推翻滿清建立中華民國。
中山 , 專有名詞。臺北市立高中之一，位於中山區。「中山女子高級中學」的縮寫。
中山 , 專有名詞。臺灣國立大學之一，位於高雄市鼓山區。「中山大學」的縮寫。
中式 , 形容形式、風格上屬於中國或來自於中國的。
中 , 形容功能接近標準或平均的。
中 , 形容接近標準或平均的距離長度的。
中 , 形容階級架構不在兩端的。
中 , 從施力來源使投擲物經過運動路徑到達目標。
中心 , 位置詞。具有重要地位或特定特質的區域。
中心 , 位置詞。空間範圍與各端點距離大約相等的位置。
中心 , 地方詞。具有特定設備，提供特定資源的機構或單位的建築物及建築物所在的位置。
中心 , 普通名詞。具有特定設備，提供特定資源的機構或單位。
中心 , 普通名詞。比喻特定對象的重要核心部份。
中性 , 形容事物不具極端特質。
中性 , 形容標誌性(gender)的語言中非陽性或陰性的詞彙。
中性 , 形容無電荷的。
中性 , 形容生物外型不帶有明顯的雄性或雌性特徵。
中性 , 形容立場不傾向於任何一方。
中性 , 形容膚質油脂分泌正常，不偏乾性或油性。
中性 , 形容詞彙不帶有褒貶色彩。
中性 , 普通名詞。酸鹼平衡的特性。
中 , 接近或配合後述對象的預期。
中文 , 普通名詞。中華民族的主要通用語文，為中國大陸、臺灣、新加坡的官方語言。
中文 , 普通名詞。大學中教授中文知識的教學研究單位。中文系所的簡省。
中斷 , 中途停止或斷絕。
中旬 , 時間詞。一個月中間的十天。
中 , 時態標記。表持續狀態。常用「(正)在…中」。
中 , 時間範圍分三階段時，不屬於兩端點的時段。
中 , 普通名詞。「中年」的簡省，年齡在四十到六十歲間。
中 , 普通名詞。中華民族的主要通用語文，為中國大陸、臺灣、新加坡的官方語言。
中 , 普通名詞。中華民族的文化。
中 , 普通名詞。人心。
中 , 普通名詞。在特定領域中，累積足夠經歷正在承擔主要工作的一輩。
中 , 普通名詞。大學中教授中文知識的教學研究單位。中文系所的簡省。
中 , 普通名詞。接近標準或平均的時段長度。
中 , 普通名詞。接近標準或平均的規模大小。
中 , 普通名詞。等級不在兩端的部份。
中 , 普通名詞。階段不在兩端的部份。
中 , 普通名詞。麻將中的牌面，為三種箭牌之一。
中東 , 地方詞。歐、亞、非洲交會的地區，包括伊拉克、敘利亞、約旦、黎巴嫩、以色列、土耳其、埃及、蘇丹等國。
中正 , 地方詞。中正大學的建築物及建築物所在的位置。「中正大學」的縮寫。
中正 , 地方詞。桃園中正國際機場的建築物及建築物所在的位置。「桃園中正國際機場」的縮寫。同義詞「中正國際機場」、「臺灣桃園國際機場」。
中正 , 專有名詞。臺灣國立大學之一，位於嘉義縣民雄鄉。「中正大學」的縮寫。
中正 , 專有名詞。臺灣第一個現代化的國際機場，位於桃園縣大園鄉，為十大建設之一，2007年更名為「台灣桃園國際機場」。「桃園中正國際機場」的縮寫。同義詞「中正國際機場」、「臺灣桃園國際機場」。
中正 , 專有名詞。近代中國政治家、軍事家，名中正，字介石，民國三十七年當選中華民國首任總統，民國三十八年帶領國民黨播遷到臺灣。
中正 , 形容依照道理處世。
中正 , 形容符合規範的。
中正 , 形容處理事情合情理，不偏袒任何一方的。
中正 , 普通名詞。官名，三國魏所設立的官職，代表特定對象的出身貴賤。
中正 , 普通名詞。官名，秦末陳勝自立為楚王時所置的官職，主掌糾察群臣的過失。
中毒 , 接觸到危害身體健康的物質而產生不良反應。
中毒 , 比喻受到特定對象的深入影響而強烈支持或喜愛該對象。
中毒 , 電腦遭到一種會不斷自動複製的程式破壞。
中油 , 地方詞。中油的建築物及建築物所在的位置。「中國石油股份有限公司」的縮寫。
中油 , 專有名詞。中油所資助的特定團體。
中油 , 專有名詞。臺灣的石油公司之一，為政府所投資的國營事業。「中國石油股份有限公司」的縮寫。
中油 , 普通名詞。中油所販售的產品，通常為交通工具的燃料。
中產階級 , 普通名詞。介於上層和下層社會之間的社會階級。
中研院 , 地方詞。中研院的建築物及建築物所在的位置。「中央研究院」的縮寫。
中研院 , 專有名詞。臺灣最高的學術研究機構，以實行科學研究，並指導、聯絡、獎勵全國學術研究事業為宗旨。「中央研究院」的縮寫。
中 , 空間範圍分三部份時，不屬於兩端點的高度。
中等 , 形容中學的。
中等 , 形容在上等和下等之間的等級。
中等 , 形容普遍而非極端的。
中華 , 地方詞。位於臺灣島的國家，轄區包含臺灣、澎湖、金門、馬祖，特別用於必須與中國區分但又不能用「臺灣」時。
中華日報 , 地方詞。中華日報的建築物及建築物所在的位置。
中華日報 , 專有名詞。中華日報出版的報紙。
中華日報 , 專有名詞。臺灣的一家報社，為中國國民黨黨營事業之一，民國三十五年創刊，是臺南地方報。
中華 , 普通名詞。中華民族的文化。
中華 , 普通名詞。發源於黃河流域的漢族，與其他邊疆民族不斷融合所形成的一個民族。「中華民族」的簡省。
中華民國 , 位於臺灣島的國家，建立於西元1912年的民主共和國，轄區包含臺灣、澎湖、金門、馬祖。
中華民國 , 專有名詞。治理中華民國的政府。
中華民國 , 時間詞。中華民國記載年代的方法，從西元一九一二年開始。同義詞「民國」。
中華民族 , 普通名詞。發源於黃河流域的漢族，與其他邊疆民族不斷融合所形成的一個民族。
中葉 , 時間詞。較長時期的三個分段中中間的一段，通常用於世紀或朝代。
中視 , 地方詞。中國電視公司的建築物及建築物所在的位置。「中國電視公司」的簡省。
中視 , 普通名詞。中國電視公司所擁有的頻道。「中國電視公司」的簡省。
中視 , 普通名詞。臺灣無線電視網之一，由中國國民黨創立。「中國電視公司」的簡省。
中途 , 地方詞。離開起點尚未到終點的地方。
中途 , 時間詞。在事件進行中。
中長跑 , 田徑競賽項目，距離從八百公尺到一萬公尺。
中間 , 一物兩端之間的部份。
中間 , 位置詞。不屬於任一極端。
中間 , 位置詞。位置在一範圍的中央。
中間 , 位置詞。兩事件間的過渡階段。
中間 , 位置詞。兩參考點之間的位置。
中間 , 位置詞。前述對象的範圍內。
中間 , 位置詞。在事件的過程中。
中間 , 位置詞。比喻優先考量。
中間 , 位置詞。等級在兩端之間的位置。
中間 , 兩參考點之間的範圍。
中階 , 形容功能接近標準或平均的。
中階 , 形容階級架構不在兩端的。
中階 , 普通名詞。在特定分類標準中的中間層級。
丰 , 專有名詞。詩經鄭風中的一篇。
丰 , 形容植物生長茂盛。
丰 , 形容種類多且數量大。
丰 , 普通名詞。美好的容貌、姿態。
丰采 , 普通名詞。美好的氣質或魅力。
串 , 到後述地點與特定對象聊天。
串 , 在戲劇表演中擔任戲份少的角色。
串 , 多個不同的特定地點之間移動。
串 , 將較小的語言表意單位連貫成後述較大的表意單位。
串 , 後述對象間產生不正常的連結。
串 , 普通名詞。接尾詞。多個前述文字或符號組成的整體。
串 , 普通名詞。接尾詞。附著在同一長條上的多個對象形成的整體。
串 , 比喻使兩個以上的特定對象產生關聯。
串 , 準量詞。計算多個在短時間內發生的同類事件的單位。
串 , 準量詞。計算多個與主事者有相同關係的人的單位。
串 , 用長條物體穿過多個分開的對象，使其成為一個整體。
串 , 計算同一枝上同時生長多個果實的水果的單位。
串 , 計算多個同類對象串連成一個整體的物體的單位。
串 , 計算多個對象排列成長條形的物體的單位。
丸 , 專有名詞。接尾詞。用於大型船隻的名稱。
丸 , 普通名詞。體積小的球狀物或接近球狀物的物體。常用接尾詞。
丸 , 普通名詞。體積小的球狀物或接近球狀物的物體的單位。
丸 , 計算球狀物或接近球狀物的物體的單位。
丸 , 計算體積小的球狀物的單位。
丹 , 地方詞。國名，北歐國家，首都為哥本哈根。「丹麥」的簡省。
丹 , 專有名詞。姓。
丹 , 專有名詞。戰國末年燕國的太子，為燕王喜的兒子。
丹 , 專有名詞。治理丹麥的政府。
丹 , 形容比喻情感熱烈且真誠的。
丹 , 形容顏色為紅的，像鮮血、蘋果、春聯的。
丹 , 普通名詞。人肚臍下一寸半至三寸的部位。「丹田」的簡省。
丹 , 普通名詞。依照特定成分製成的顆粒狀或粉末狀的中藥。常用接尾詞。
丹 , 普通名詞。道教修練術中以硃砂所燒煉成的以求長生不老的藥。
丹紅 , 普通名詞。像鮮血一樣較鮮豔的紅色。
主人 , 普通名詞。擁有支配特定對象權力的人。
主人 , 普通名詞。特定對象所有權的擁有者。
主人 , 普通名詞。邀請並負責招待賓客的人，相對於客人。
主任 , 形容在後述組織中職權最高的。
主任 , 普通名詞。特定機構或部門的主要負責人。
主 , 前述對象會影響並導致後述事件的發生，通常用於占卜或命理。
主力 , 普通名詞。以技術性方式控制股價漲跌變化的大戶。
主力 , 普通名詞。特定團體中負責完成重要工作的主要對象。
主動 , 形容不需其他外力推動就開始做特定事件。
主 , 專有名詞。姓。
主 , 對特定對象提出後述看法並以道理支持。
主導 , 發揮影響力以領導後述事物發展。
